className, methodName, methodDesc, owner, name, desc, groupId, artifactId, version, size, ext
com/thinkaurelius/titan/diskstorage/cassandra/astyanax/AstyanaxStoreManager, <init>, (Lorg/apache/commons/configuration/Configuration;)V, com.netflix.astyanax.connectionpool.impl.FixedRetryBackoffStrategy,1000,5000, com.netflix.astyanax.connectionpool.impl.FixedRetryBackoffStrategy,1000,5000, literal, com.thinkaurelius.titan, titan-cassandra-jre6, 0.4.4, 104193, jar
com/thinkaurelius/titan/diskstorage/cassandra/astyanax/AstyanaxStoreManager, <init>, (Lorg/apache/commons/configuration/Configuration;)V, com.netflix.astyanax.retry.BoundedExponentialBackoff,100,25000,8, com.netflix.astyanax.retry.BoundedExponentialBackoff,100,25000,8, literal, com.thinkaurelius.titan, titan-cassandra-jre6, 0.4.4, 104193, jar
com/datastax/spark/connector/types/UserDefinedType$DriverUDTValueConverter$$typecreator2$1, apply, (Lscala/reflect/api/Mirror;)Lscala/reflect/api/Types$TypeApi;, com.datastax.driver.core.UDTValue, com.datastax.driver.core.UDTValue, literal, com.datastax.spark, spark-cassandra-connector_2.10, 1.2.0-alpha2, 1629730, jar
me/prettyprint/cassandra/service/JmxMonitor, getCassandraMonitor, (Lme/prettyprint/cassandra/connection/HConnectionManager;)Lme/prettyprint/cassandra/service/CassandraClientMonitor;, me.prettyprint.cassandra.service_, me.prettyprint.cassandra.service_, literal, me.prettyprint, hector-core, 1.0-5, 541610, jar
net/oneandone/troilus/BeanMapper$PropertiesMapperLoader, fetchCassandraMapperFieldReaders, (Lcom/google/common/collect/ImmutableSet;)Lcom/google/common/collect/ImmutableMap;, com.datastax.driver.mapping.annotations.Field, com.datastax.driver.mapping.annotations.Field, literal, net.oneandone, troilus-core-java7, 0.4, 167969, jar
net/oneandone/troilus/BeanMapper$PropertiesMapperLoader, fetchCassandraMapperFieldWriters, (Lcom/google/common/collect/ImmutableSet;)Ljava/util/Map;, com.datastax.driver.mapping.annotations.Field, com.datastax.driver.mapping.annotations.Field, literal, net.oneandone, troilus-core-java7, 0.4, 167969, jar
me/prettyprint/cassandra/service/CassandraHostConfigurator, setClientFactoryClass, (Ljava/lang/String;)V, me.prettyprint.cassandra.connection.factory., me.prettyprint.cassandra.connection.factory., literal, com.savoirtech.hecate, hecate-core, 1.0.26, 3695428, jar
me/prettyprint/cassandra/service/JmxMonitor, getCassandraMonitor, (Lme/prettyprint/cassandra/connection/HConnectionManager;)Lme/prettyprint/cassandra/service/CassandraClientMonitor;, me.prettyprint.cassandra.service_, me.prettyprint.cassandra.service_, literal, com.savoirtech.hecate, hecate-core, 1.0.26, 3695428, jar
com/englishtown/vertx/cassandra/impl/JsonCassandraConfigurator, initLoadBalancingPolicy, (Lorg/vertx/java/core/json/JsonObject;)V, com.datastax.driver.core.policies.DCAwareRoundRobinPolicy, com.datastax.driver.core.policies.DCAwareRoundRobinPolicy, literal, com.englishtown, vertx-mod-cassandra, 2.0.0-RC1, 54970, jar
com/tuplejump/calliope/macros/NativeDecodeMacro$$anonfun$getMappers$1$$typecreator24$1, apply, (Lscala/reflect/api/Mirror;)Lscala/reflect/api/Types$TypeApi;, com.datastax.driver.core.Row, com.datastax.driver.core.Row, literal, com.tuplejump, calliope-macros_2.10, 1.1.0-CTP-U2-H2, 144474, jar
com/tuplejump/calliope/macros/NativeDecodeMacro$$anonfun$getMappers$1$$typecreator23$1, apply, (Lscala/reflect/api/Mirror;)Lscala/reflect/api/Types$TypeApi;, com.datastax.driver.core.Row, com.datastax.driver.core.Row, literal, com.tuplejump, calliope-macros_2.10, 1.1.0-CTP-U2-H2, 144474, jar
me/prettyprint/cassandra/service/CassandraHostConfigurator, setClientFactoryClass, (Ljava/lang/String;)V, me.prettyprint.cassandra.connection.factory., me.prettyprint.cassandra.connection.factory., literal, org.usergrid, hector-core, 1.1-2-1, 574570, jar
me/prettyprint/cassandra/service/JmxMonitor, getCassandraMonitor, (Lme/prettyprint/cassandra/connection/HConnectionManager;)Lme/prettyprint/cassandra/service/CassandraClientMonitor;, me.prettyprint.cassandra.service_, me.prettyprint.cassandra.service_, literal, org.usergrid, hector-core, 1.1-2-1, 574570, jar
com/netflix/astyanax/connectionpool/impl/ConnectionPoolConfigurationImpl, initialize, ()V, com.netflix.astyanax.partitioner.BigInteger127Partitioner, com.netflix.astyanax.partitioner.BigInteger127Partitioner, literal, com.netflix.astyanax, astyanax-core, 2.0.2, 216420, jar
com/datastax/driver/core/Cluster, <clinit>, ()V, com.datastax.driver.NEW_NODE_DELAY_SECONDS, com.datastax.driver.NEW_NODE_DELAY_SECONDS, literal, com.datastax.cassandra, cassandra-driver-core, 2.1.4, 1975418, jar
com/datastax/driver/core/Cluster, <clinit>, ()V, com.datastax.driver.NON_BLOCKING_EXECUTOR_SIZE, com.datastax.driver.NON_BLOCKING_EXECUTOR_SIZE, literal, com.datastax.cassandra, cassandra-driver-core, 2.1.4, 1975418, jar
com/datastax/driver/core/Cluster, <clinit>, ()V, com.datastax.driver.core.Driver, com.datastax.driver.core.Driver, literal, com.datastax.cassandra, cassandra-driver-core, 2.1.4, 1975418, jar
com/datastax/driver/core/Cluster, <clinit>, ()V, com.datastax.driver.NOTIF_LOCK_TIMEOUT_SECONDS, com.datastax.driver.NOTIF_LOCK_TIMEOUT_SECONDS, literal, com.datastax.cassandra, cassandra-driver-core, 2.1.4, 1975418, jar
me/prettyprint/cassandra/service/CassandraHostConfigurator, setClientFactoryClass, (Ljava/lang/String;)V, me.prettyprint.cassandra.connection.factory., me.prettyprint.cassandra.connection.factory., literal, org.hectorclient, hector-core, 2.0-0, 604354, jar
me/prettyprint/cassandra/service/JmxMonitor, getCassandraMonitor, (Lme/prettyprint/cassandra/connection/HConnectionManager;)Lme/prettyprint/cassandra/service/CassandraClientMonitor;, me.prettyprint.cassandra.service_, me.prettyprint.cassandra.service_, literal, org.hectorclient, hector-core, 2.0-0, 604354, jar
me/prettyprint/cassandra/service/JmxMonitor, removeCassandraMonitor, (Lme/prettyprint/cassandra/connection/HConnectionManager;)V, me.prettyprint.cassandra.service_, me.prettyprint.cassandra.service_, literal, org.hectorclient, hector-core, 2.0-0, 604354, jar
com/englishtown/vertx/cassandra/impl/JsonCassandraConfigurator, initLoadBalancingPolicy, (Lio/vertx/core/json/JsonObject;)V, com.datastax.driver.core.policies.DCAwareRoundRobinPolicy, com.datastax.driver.core.policies.DCAwareRoundRobinPolicy, literal, com.englishtown.vertx, vertx-cassandra, 3.0.0-RC1, 59429, jar
com/thinkaurelius/titan/diskstorage/cassandra/astyanax/AstyanaxStoreManager, <init>, (Lorg/apache/commons/configuration/Configuration;)V, com.netflix.astyanax.retry.BoundedExponentialBackoff,25,1000,30, com.netflix.astyanax.retry.BoundedExponentialBackoff,25,1000,30, literal, com.thinkaurelius.titan, titan, 0.2.0, 525153, jar
com/thinkaurelius/titan/diskstorage/cassandra/astyanax/AstyanaxStoreManager, <clinit>, ()V, com.netflix.astyanax.retry.BoundedExponentialBackoff,100,25000,8, com.netflix.astyanax.retry.BoundedExponentialBackoff,100,25000,8, literal, com.thinkaurelius.titan, titan-cassandra, 0.9.0-M1, 115076, jar
com/thinkaurelius/titan/diskstorage/cassandra/astyanax/AstyanaxStoreManager, <clinit>, ()V, com.netflix.astyanax.connectionpool.impl.FixedRetryBackoffStrategy,1000,5000, com.netflix.astyanax.connectionpool.impl.FixedRetryBackoffStrategy,1000,5000, literal, com.thinkaurelius.titan, titan-cassandra, 0.9.0-M1, 115076, jar
net/oneandone/troilus/BeanMapper$PropertiesMapperLoader, fetchCassandraMapperFieldReaders, (Lcom/google/common/collect/ImmutableSet;)Lcom/google/common/collect/ImmutableMap;, com.datastax.driver.mapping.annotations.Field, com.datastax.driver.mapping.annotations.Field, literal, net.oneandone.troilus, troilus-core-java7, 0.5, 169189, jar
net/oneandone/troilus/BeanMapper$PropertiesMapperLoader, fetchCassandraMapperFieldWriters, (Lcom/google/common/collect/ImmutableSet;)Ljava/util/Map;, com.datastax.driver.mapping.annotations.Field, com.datastax.driver.mapping.annotations.Field, literal, net.oneandone.troilus, troilus-core-java7, 0.5, 169189, jar
me/prettyprint/cassandra/connection/HConnectionManager, <clinit>, ()V, me.prettyprint.cassandra.hector.TimingLogger, me.prettyprint.cassandra.hector.TimingLogger, literal, com.github.stephenc.hector, hector-core, 0.7.0-rc4-1, 430958, jar
me/prettyprint/cassandra/service/JmxMonitor, <init>, (Lme/prettyprint/cassandra/connection/HConnectionManager;)V, me.prettyprint.cassandra.service, me.prettyprint.cassandra.service, literal, com.github.stephenc.hector, hector-core, 0.7.0-rc4-1, 430958, jar
