id,comment,patterns
org.objenesis:objenesis,UnsafeFactoryInstantiator uses allocateInstance,serialization
com.google.guava:guava,UnsignedBytes,probyte
org.jboss.modules:jboss-modules,ConcurrentClassLoader,monitor
org.codehaus.groovy:groovy-all,FastStringUtils accesses fields of String class and avoids copying the underlying char array,finalfield
org.scala-lang:scala-library,FJ,lockfree
org.springframework:spring-core,UnsafeFactoryInstantiator,serialization
com.github.jnr:jffi,Java Foreign Function Interface uses Get&Int&copyMemory&setMemory in class MemoryIO,marshalling
com.hazelcast:hazelcast-all,Alloc&Get&Put,serialization
com.oracle:truffle,Get&Put&Alloc,serialization
com.headius:openjdk-truffle,Get&Put&Alloc,serialization
com.headius:unsafe-mock,Mocking implementation of s.m.u,
org.jruby:jruby-core,Ruby,lockfree&probyte
net.sf.ehcache:ehcache,UnsafeSizeOf class uses Array&Offset,size
io.netty:netty-all,FJ,lockfree&throw
com.caucho:hessian,Binary web service protocol,serialization
io.netty:netty,UnsafeAioChannelFinder,
com.thoughtworks.xstream:xstream,SunUnsafeReflectionProvider class uses Alloc&Put&Offset,serialization
net.sf.ehcache:ehcache-core,UnsafeSizeOf class uses Array&Offset,size
org.jboss.spec:jboss-javaee-all-7.0,sun/corba/Bridge uses Get&Put&Offset&Throw,throw&finalfield
com.lmax:disruptor,CAS,lockfree
org.glassfish.grizzly:grizzly-framework,CAS,lockfree
org.mockito:mockito-all,UnsafeFactoryInstantiator uses allocateInstance,serialization
com.google.gwt:gwt-dev,Striped & UnsignedBytes,lockfree&probyte
com.googlecode.concurrentlinkedhashmap:concurrentlinkedhashmap-lru,ConcurrentHashMapV8,lockfree
com.codahale.metrics:metrics-core,Striped64,lockfree
org.codehaus.groovy:groovy-eclipse-batch,FastStringUtils,finalfield
org.apache.avro:avro,Get&Offset&Put,serialization
com.cenqua.clover:clover,UnsignedBytes,probyte
org.apache.hadoop:hadoop-common,UnsignedBytes & pageSize pattern in NativeIO ,probyte&page
org.apache.hadoop:hadoop-hdfs,ShortCircuitShm,lockfree
org.jruby:jruby-complete,JRuby,marshalling&serialization&lockfree&probyte
org.glassfish.jersey.bundles.repackaged:jersey-guava,,lockfree
org.glassfish.jersey.core:jersey-common,,lockfree
net.jpountz.lz4:lz4,LZ4 compression library. UnsafeUtils is a wrapper class. It uses smu for performance,probyte&serialization
com.esotericsoftware.kryo:kryo,Serialization library,serialization
com.google.gwt:gwt-servlet,,lockfree&probyte
org.neo4j:neo4j-primitive-collections,Graph database. UnsafeTable class off-heap data structures,lockfree&largearrays
org.neo4j:neo4j-io,UnsafeUtil wrapper class,
org.neo4j:neo4j-kernel,OffHeapNumberArray&OffHeapLongArray&OffHeapIntArray classes off-heap data structures,largearrays
com.typesafe.akka:akka-actor_2.10,Actor library,lockfree
xstream:xstream,Sun14ReflectionProvider,serialization
org.apache.camel:camel-core,,lockfree
org.elasticsearch:elasticsearch,UnsafeChunkDecoder JITClassLoader jsr166,probyte&class&lockfree&throw
com.hazelcast:hazelcast,,serialization
org.iq80.snappy:snappy,,probyte&serialization
com.typesafe.akka:akka-actor_2.11,,lockfree
org.jboss.weld.servlet:weld-servlet,,probyte&lockfree
org.infinispan:infinispan-commons,FJ,lockfree
org.mapdb:mapdb,MapDB provides concurrent Maps Sets and Queues backed by disk storage or off-heap memory,largearrays
com.ning:compress-lzf,,probyte
io.undertow:undertow-core,,lockfree
io.fastjson:boon,,serialization
org.glassfish.main.grizzly:nucleus-grizzly-all,,lockfree
org.codehaus.jsr166-mirror:jsr166y,FJ,lockfree&throw
com.google.guava:guava-jdk5,Striped64 UnsignedBytes,probyte&lockfree
io.reactivex:rxjava,,lockfree
org.weakref:jmxutils,,probyte&lockfree
org.python:jython,,marshalling&lockfree&probyte&throw
org.apache.servicemix.bundles:org.apache.servicemix.bundles.ehcache,,page
io.dropwizard.metrics:metrics-core,,lockfree
