depId, depCount
${project.groupId}:lift-json_${scala.version}, 1
org.ow2.sirocco.cloudmanager:sirocco-cloudmanager-model-cimi, 11
com.github.rbuck:java-commons, 1
com.impetus.ilabs.build:checkstyle-config, 1
com.typesafe.akka:akka-actor_2.10.0-RC5, 15
com.typesafe.akka:akka-actor_2.10.0-RC2, 15
net.gcolin.httpquery:httpquery-jackson, 1
com.typesafe.akka:akka-actor_2.10.0-RC3, 15
${project.groupId}:corpis-application-scaffold-model, 27
com.typesafe.akka:akka-actor_2.10.0-RC1, 15
com.google.auto.value:auto-value, 364
org.ow2.petals:petals-message-exchange, 1
com.paypal.cascade:cascade-akka_2.11, 1
${project.groupId}:sonar-java-plugin, 1
org.glassfish.main.jdbc:jdbc-config, 4
com.jivesoftware.os.jive.utils.row.column.value.store:row-column-value-store-marshall-primatives, 1
org.calrissian.accumulorecipes:blob-store, 1
${project.groupId}:microlog-logger-midp-file, 1
ua.mobius.media.codecs:g711, 10
${project.groupId}:ks-core-impl, 4
org.apache.ctakes:ctakes-relation-extractor, 4
org.kuali.rice:rice-edl-impl, 7
com.io7m.jnull:io7m-jnull-core, 9
com.madgag:util-compress, 5
org.evactor:core, 1
com.googlecode.jaitools:kernel, 1
org.webjars:highcharts, 1
org.apache.james:apache-james-mailbox-memory, 2
net.jangaroo:exml-compiler, 1
org.apache.bval:bval-guice, 6
com.google.code.findbugs:bcel-findbugs, 22
de.tudarmstadt.ukp.dkpro.core:de.tudarmstadt.ukp.dkpro.core.stanfordnlp-model-ner-en-conll.4class.caseless.distsim.crf, 3
com.tdunning:t-digest, 5
${project.groupId}:elk-util-logging, 2
io.motown.identification-authorization:identification-authorization-plugin-api, 1
org.apache.isis.runtimes.dflt.remoting:common, 4
org.apithefire:apithefire-server, 1
com.sun.speech:freetts-cmutimelex, 1
woodstox:wstx-asl, 400
org.open-dolphin:dolphin-client, 1
org.jboss.aerogear.test.arquillian:arquillian-non-deploying-container-checks-impl, 1
net.liftmodules:fobo-kineticjs_2.5_2.9.1, 1
org.sakaiproject.calendaring:external-calendaring-service-api, 3
net.liftmodules:fobo-kineticjs_2.5_2.9.2, 1
org.apache.karaf.bundle:org.apache.karaf.bundle.command, 1
org.apache.struts.tiles:tiles-core, 72
org.springframework.integration:spring-integration-rmi, 8
org.ikasan:ikasan-test, 1
com.54chen:amoeba-parser, 1
org.mule.transports:mule-transport-xfire, 1
ua.mobius.media.codecs:g729, 7
org.jboss.solder:solder-tooling, 18
org.bitbucket.jscl:jscover-agent, 1
org.ow2.xlcloud.xms.console:stacks, 4
se.scalablesolutions.akka:akka-actor, 9
org.ow2.util:util-ee-metadata-ws-api, 111
org.sklsft:generator-repository, 3
org.webjars:qs, 13
com.github.shyiko.mappify:mappify-api, 2
org.glassfish.packager:metro, 6
woodstox:wstx-api, 2
org.glassfish.jdbc.jdbc-ra.jdbc-core:jdbc-core, 1
com.github.philcali:scalendar_2.11, 1
org.ow2.jonas:jonas-genic, 3
org.jibx.schema.org.opentravel._2012A:org.jibx.schema.org.opentravel._2012A.hotel, 3
org.bidib.jbidib.org.qbang.rxtx:rxtxcomm, 2
org.jvnet.hyperjaxb3:maven-hyperjaxb3-plugin, 1
org.akhikhl.gretty:gretty-helper-commons, 1
com.threerings:ooo-app, 1
org.rhq:rhq-remoting-client-api, 2
org.solovyev.android:android-common-ads, 3
