method,usagesInQuestionsOnly,usagesInAnswersOnly,usagesInBoth,total
allocateInstance,0,18,46,64
arrayBaseOffset,4,13,4,21
arrayIndexScale,1,7,4,12
compareAndSwapInt,2,11,0,13
compareAndSwapLong,1,0,0,1
compareAndSwapObject,3,2,0,5
defineClass,1,2,0,3
ensureClassInitialized,3,1,0,4
fullFence,0,1,0,1
loadFence,0,0,1,1
storeFence,0,0,1,1
getAndAddInt,0,0,0,0
getAndAddLong,0,0,0,0
getAndSetInt,0,0,0,0
getAndSetLong,0,0,0,0
getAndSetObject,0,0,0,0
getBoolean,0,0,0,0
getByte,3,4,2,9
getChar,2,0,0,2
getDouble,0,0,0,0
getFloat,1,0,0,1
getInt,3,20,4,27
getLong,4,8,4,16
getObject,1,2,1,4
getShort,1,1,0,2
getBooleanVolatile,0,0,0,0
getByteVolatile,0,0,0,0
getCharVolatile,0,0,0,0
getDoubleVolatile,0,0,0,0
getFloatVolatile,0,0,0,0
getIntVolatile,0,1,0,1
getLongVolatile,0,0,0,0
getObjectVolatile,1,1,0,2
getShortVolatile,0,0,0,0
getUnsafe,6,18,10,34
monitorEnter,0,1,0,1
monitorExit,0,1,0,1
addressSize,1,7,0,8
allocateMemory,3,14,8,25
copyMemory,5,14,4,23
freeMemory,1,6,2,9
getAddress,1,6,1,8
pageSize,0,1,0,1
putAddress,0,5,0,5
reallocateMemory,0,2,0,2
setMemory,0,2,0,2
objectFieldOffset,4,6,0,10
staticFieldBase,0,0,0,0
staticFieldOffset,0,2,0,2
park,0,0,0,0
unpark,0,0,0,0
putBoolean,0,0,0,0
putByte,6,0,0,6
putChar,1,0,0,1
putDouble,0,0,0,0
putFloat,2,0,0,2
putInt,3,6,1,10
putLong,3,4,2,9
putObject,0,1,0,1
putShort,3,1,0,4
putOrderedInt,0,1,0,1
putOrderedLong,1,2,0,3
putOrderedObject,0,1,0,1
putBooleanVolatile,0,0,0,0
putByteVolatile,0,1,0,1
putCharVolatile,0,0,0,0
putDoubleVolatile,0,0,0,0
putFloatVolatile,0,0,0,0
putIntVolatile,0,1,0,1
putLongVolatile,0,1,0,1
putObjectVolatile,1,3,0,4
putShortVolatile,0,0,0,0
throwException,3,7,0,10
