method,gid,access,member
addressSize,offheap,public,method
allocateInstance,alloc,public,method
allocateMemory,offheap,public,method
arrayBaseOffset,array,public,method
arrayIndexScale,array,public,method
compareAndSwapInt,cas,public,method
compareAndSwapLong,cas,public,method
compareAndSwapObject,cas,public,method
copyMemory (Heap),heap,public,method
copyMemory (Off-Heap),offheap,public,method
defineAnonymousClass,class,public,method
defineClass,class,public,method
ensureClassInitialized,class,public,method
fieldOffset,offset,public,method
freeMemory,offheap,public,method
getAddress,offheap,public,method
getBoolean,heapget,public,method
getBooleanVolatile,getvolatile,public,method
getByte (Heap),heapget,public,method
getByte (Off-Heap),offheapget,public,method
getByteVolatile,getvolatile,public,method
getChar (Heap),heapget,public,method
getChar (Off-Heap),offheapget,public,method
getCharVolatile,getvolatile,public,method
getDouble (Heap),heapget,public,method
getDouble (Off-Heap),offheapget,public,method
getDoubleVolatile,getvolatile,public,method
getFloat (Heap),heapget,public,method
getFloat (Off-Heap),offheapget,public,method
getFloatVolatile,getvolatile,public,method
getInt (Heap),heapget,public,method
getInt (Off-Heap),offheapget,public,method
getIntVolatile,getvolatile,public,method
getLoadAverage,misc,public,method
getLong (Heap),heapget,public,method
getLong (Off-Heap),offheapget,public,method
getLongVolatile,getvolatile,public,method
getObject,heapget,public,method
getObjectVolatile,getvolatile,public,method
getShort (Heap),heapget,public,method
getShort (Off-Heap),offheapget,public,method
getShortVolatile,getvolatile,public,method
monitorEnter,monitor,public,method
monitorExit,monitor,public,method
objectFieldOffset,offset,public,method
pageSize,offheap,public,method
park,park,public,method
putAddress,offheap,public,method
putBoolean,heapput,public,method
putBooleanVolatile,putvolatile,public,method
putByte (Heap),heapput,public,method
putByte (Off-Heap),offheapput,public,method
putByteVolatile,putvolatile,public,method
putChar (Heap),heapput,public,method
putChar (Off-Heap),offheapput,public,method
putCharVolatile,putvolatile,public,method
putDouble (Heap),heapput,public,method
putDouble (Off-Heap),offheapput,public,method
putDoubleVolatile,putvolatile,public,method
putFloat (Heap),heapput,public,method
putFloat (Off-Heap),offheapput,public,method
putFloatVolatile,putvolatile,public,method
putInt (Heap),heapput,public,method
putInt (Off-Heap),offheapput,public,method
putIntVolatile,putvolatile,public,method
putLong (Heap),heapput,public,method
putLong (Off-Heap),offheapput,public,method
putLongVolatile,putvolatile,public,method
putObject,heapput,public,method
putObjectVolatile,putvolatile,public,method
putOrderedInt,putordered,public,method
putOrderedLong,putordered,public,method
putOrderedObject,putordered,public,method
putShort (Heap),heapput,public,method
putShort (Off-Heap),offheapput,public,method
putShortVolatile,putvolatile,public,method
reallocateMemory,offheap,public,method
setMemory (Heap),heap,public,method
setMemory (Off-Heap),offheap,public,method
staticFieldBase,offset,public,method
staticFieldOffset,offset,public,method
throwException,throw,public,method
tryMonitorEnter,monitor,public,method
unpark,park,public,method
fullFence,fence,public,method
loadFence,fence,public,method
storeFence,fence,public,method
getAndAddInt,fetchandadd,public,method
getAndAddLong,fetchandadd,public,method
getAndSetInt,fetchandadd,public,method
getAndSetLong,fetchandadd,public,method
getAndSetObject,fetchandadd,public,method
shouldBeInitialized,class,public,method
ADDRESS_SIZE,offheap,public,field
INVALID_FIELD_OFFSET,offset,public,field
ARRAY_BOOLEAN_BASE_OFFSET,array,public,field
ARRAY_BOOLEAN_INDEX_SCALE,array,public,field
ARRAY_BYTE_BASE_OFFSET,array,public,field
ARRAY_BYTE_INDEX_SCALE,array,public,field
ARRAY_CHAR_BASE_OFFSET,array,public,field
ARRAY_CHAR_INDEX_SCALE,array,public,field
ARRAY_DOUBLE_BASE_OFFSET,array,public,field
ARRAY_DOUBLE_INDEX_SCALE,array,public,field
ARRAY_FLOAT_BASE_OFFSET,array,public,field
ARRAY_FLOAT_INDEX_SCALE,array,public,field
ARRAY_INT_BASE_OFFSET,array,public,field
ARRAY_INT_INDEX_SCALE,array,public,field
ARRAY_LONG_BASE_OFFSET,array,public,field
ARRAY_LONG_INDEX_SCALE,array,public,field
ARRAY_OBJECT_BASE_OFFSET,array,public,field
ARRAY_OBJECT_INDEX_SCALE,array,public,field
ARRAY_SHORT_BASE_OFFSET,array,public,field
ARRAY_SHORT_INDEX_SCALE,array,public,field
getUnsafe,misc,public,method
sun/misc/Unsafe,literal,literal,literal
<init>,misc,private,method
arrayBaseOffset0,array,private,method
arrayIndexScale0,array,private,method
getArrayBaseOffsetForComponentType,array,private,method
getArrayIndexScaleForComponentType,array,private,method
objectFieldOffset0,offset,private,method
registerNatives,misc,private,method
THE_ONE,misc,private,field
theUnsafe,misc,private,field
