method,gid
addressSize,offheap
allocateInstance,alloc
allocateMemory,offheap
arrayBaseOffset,array
arrayIndexScale,array
compareAndSwapInt,cas
compareAndSwapLong,cas
compareAndSwapObject,cas
copyMemory (Heap),heap
copyMemory (Off-Heap),offheap
defineAnonymousClass,class
defineClass,class
ensureClassInitialized,class
fieldOffset,offset
freeMemory,offheap
getAddress,offheap
getBoolean (Heap),heapget
getBoolean (Off-Heap),offheapget
getBooleanVolatile,getvolatile
getByte (Heap),heapget
getByte (Off-Heap),offheapget
getByteVolatile,getvolatile
getChar (Heap),heapget
getChar (Off-Heap),offheapget
getCharVolatile,getvolatile
getDouble (Heap),heapget
getDouble (Off-Heap),offheapget
getDoubleVolatile,getvolatile
getFloat (Heap),heapget
getFloat (Off-Heap),offheapget
getFloatVolatile,getvolatile
getInt (Heap),heapget
getInt (Off-Heap),offheapget
getIntVolatile,getvolatile
getLoadAverage,misc
getLong (Heap),heapget
getLong (Off-Heap),offheapget
getLongVolatile,getvolatile
getObject,heapget
getObjectVolatile,getvolatile
getShort (Heap),heapget
getShort (Off-Heap),offheapget
getShortVolatile,getvolatile
#getUnsafe,misc
monitorEnter,monitor
monitorExit,monitor
objectFieldOffset,offset
pageSize,offheap
park,park
putAddress,offheap
putBoolean (Heap),heapput
putBoolean (Off-Heap),offheapput
putBooleanVolatile,putvolatile
putByte (Heap),heapput
putByte (Off-Heap),offheapput
putByteVolatile,putvolatile
putChar (Heap),heapput
putChar (Off-Heap),offheapput
putCharVolatile,putvolatile
putDouble (Heap),heapput
putDouble (Off-Heap),offheapput
putDoubleVolatile,putvolatile
putFloat (Heap),heapput
putFloat (Off-Heap),offheapput
putFloatVolatile,putvolatile
putInt (Heap),heapput
putInt (Off-Heap),offheapput
putIntVolatile,putvolatile
putLong (Heap),heapput
putLong (Off-Heap),offheapput
putLongVolatile,putvolatile
putObject,heapput
putObjectVolatile,putvolatile
putOrderedInt,putordered
putOrderedLong,putordered
putOrderedObject,putordered
putShort (Heap),heapput
putShort (Off-Heap),offheapput
putShortVolatile,putvolatile
reallocateMemory,offheap
setMemory (Heap),heap
setMemory (Off-Heap),offheap
staticFieldBase,offset
staticFieldOffset,offset
#sun/misc/Unsafe,literal
throwException,throw
tryMonitorEnter,monitor
unpark,park
fullFence,fence
loadFence,fence
storeFence,fence
getAndAddInt,fetchandadd
getAndAddLong,fetchandadd
getAndSetInt,fetchandadd
getAndSetLong,fetchandadd
getAndSetObject,fetchandadd
