className, methodName, methodDesc, owner, name, desc, groupId, artifactId, version, size, ext
java/lang/invoke/BoundMethodHandle$Factory, generateConcreteBMHClass, (Ljava/lang/String;)Ljava/lang/Class;, sun/misc/Unsafe, defineClass, (Ljava/lang/String;[BIILjava/lang/ClassLoader;Ljava/security/ProtectionDomain;)Ljava/lang/Class;, jdk8, jdk8, rt.jar@1.8, 1, jar
java/lang/invoke/BoundMethodHandle$Factory, generateConcreteBMHClass, (Ljava/lang/String;)Ljava/lang/Class;, sun/misc/Unsafe, ensureClassInitialized, (Ljava/lang/Class;)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/lang/invoke/DirectMethodHandle$EnsureInitialized, computeValue, (Ljava/lang/Class;)Ljava/lang/ref/WeakReference;, sun/misc/Unsafe, ensureClassInitialized, (Ljava/lang/Class;)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/lang/invoke/DirectMethodHandle$EnsureInitialized, computeValue, (Ljava/lang/Class;)Ljava/lang/ref/WeakReference;, sun/misc/Unsafe, shouldBeInitialized, (Ljava/lang/Class;)Z, jdk8, jdk8, rt.jar@1.8, 1, jar
java/lang/invoke/InnerClassLambdaMetafactory, buildCallSite, ()Ljava/lang/invoke/CallSite;, sun/misc/Unsafe, ensureClassInitialized, (Ljava/lang/Class;)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/lang/invoke/InnerClassLambdaMetafactory, spinInnerClass, ()Ljava/lang/Class;, sun/misc/Unsafe, defineAnonymousClass, (Ljava/lang/Class;[B[Ljava/lang/Object;)Ljava/lang/Class;, jdk8, jdk8, rt.jar@1.8, 1, jar
java/lang/invoke/InnerClassLambdaMetafactory, <clinit>, ()V, sun/misc/Unsafe, getUnsafe, ()Lsun/misc/Unsafe;, jdk8, jdk8, rt.jar@1.8, 1, jar
java/lang/invoke/InvokerBytecodeGenerator, loadAndInitializeInvokerClass, ([B[Ljava/lang/Object;)Ljava/lang/Class;, sun/misc/Unsafe, defineAnonymousClass, (Ljava/lang/Class;[B[Ljava/lang/Object;)Ljava/lang/Class;, jdk8, jdk8, rt.jar@1.8, 1, jar
java/lang/invoke/InvokerBytecodeGenerator, loadAndInitializeInvokerClass, ([B[Ljava/lang/Object;)Ljava/lang/Class;, sun/misc/Unsafe, ensureClassInitialized, (Ljava/lang/Class;)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/lang/invoke/MethodHandleImpl$BindCaller, makeInjectedInvoker, (Ljava/lang/Class;)Ljava/lang/invoke/MethodHandle;, sun/misc/Unsafe, defineAnonymousClass, (Ljava/lang/Class;[B[Ljava/lang/Object;)Ljava/lang/Class;, jdk8, jdk8, rt.jar@1.8, 1, jar
java/math/BigDecimal$UnsafeHolder, setIntCompactVolatile, (Ljava/math/BigDecimal;J)V, sun/misc/Unsafe, putLongVolatile, (Ljava/lang/Object;JJ)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/math/BigDecimal$UnsafeHolder, setIntValVolatile, (Ljava/math/BigDecimal;Ljava/math/BigInteger;)V, sun/misc/Unsafe, putObjectVolatile, (Ljava/lang/Object;JLjava/lang/Object;)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/math/BigDecimal$UnsafeHolder, <clinit>, ()V, sun/misc/Unsafe, getUnsafe, ()Lsun/misc/Unsafe;, jdk8, jdk8, rt.jar@1.8, 1, jar
java/math/BigDecimal$UnsafeHolder, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J, jdk8, jdk8, rt.jar@1.8, 1, jar
java/math/BigDecimal$UnsafeHolder, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J, jdk8, jdk8, rt.jar@1.8, 1, jar
java/math/BigInteger$UnsafeHolder, putSign, (Ljava/math/BigInteger;I)V, sun/misc/Unsafe, putIntVolatile, (Ljava/lang/Object;JI)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/math/BigInteger$UnsafeHolder, putMag, (Ljava/math/BigInteger;[I)V, sun/misc/Unsafe, putObjectVolatile, (Ljava/lang/Object;JLjava/lang/Object;)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/math/BigInteger$UnsafeHolder, <clinit>, ()V, sun/misc/Unsafe, getUnsafe, ()Lsun/misc/Unsafe;, jdk8, jdk8, rt.jar@1.8, 1, jar
java/math/BigInteger$UnsafeHolder, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J, jdk8, jdk8, rt.jar@1.8, 1, jar
java/math/BigInteger$UnsafeHolder, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectByteBufferR, _get, (I)B, sun/misc/Unsafe, getByte, (J)B, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectCharBufferS, get, ()C, sun/misc/Unsafe, getChar, (J)C, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectCharBufferS, get, (I)C, sun/misc/Unsafe, getChar, (J)C, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectCharBufferS, getUnchecked, (I)C, sun/misc/Unsafe, getChar, (J)C, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectCharBufferS, put, (C)Ljava/nio/CharBuffer;, sun/misc/Unsafe, putChar, (JC)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectCharBufferS, put, (IC)Ljava/nio/CharBuffer;, sun/misc/Unsafe, putChar, (JC)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectCharBufferS, put, (Ljava/nio/CharBuffer;)Ljava/nio/CharBuffer;, sun/misc/Unsafe, copyMemory, (JJJ)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectCharBufferS, compact, ()Ljava/nio/CharBuffer;, sun/misc/Unsafe, copyMemory, (JJJ)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectCharBufferS, <clinit>, ()V, sun/misc/Unsafe, arrayBaseOffset, (Ljava/lang/Class;)I, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectCharBufferU, get, ()C, sun/misc/Unsafe, getChar, (J)C, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectCharBufferU, get, (I)C, sun/misc/Unsafe, getChar, (J)C, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectCharBufferU, getUnchecked, (I)C, sun/misc/Unsafe, getChar, (J)C, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectCharBufferU, put, (C)Ljava/nio/CharBuffer;, sun/misc/Unsafe, putChar, (JC)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectCharBufferU, put, (IC)Ljava/nio/CharBuffer;, sun/misc/Unsafe, putChar, (JC)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectCharBufferU, put, (Ljava/nio/CharBuffer;)Ljava/nio/CharBuffer;, sun/misc/Unsafe, copyMemory, (JJJ)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectCharBufferU, compact, ()Ljava/nio/CharBuffer;, sun/misc/Unsafe, copyMemory, (JJJ)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectCharBufferU, <clinit>, ()V, sun/misc/Unsafe, arrayBaseOffset, (Ljava/lang/Class;)I, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectDoubleBufferS, get, ()D, sun/misc/Unsafe, getLong, (J)J, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectDoubleBufferS, get, (I)D, sun/misc/Unsafe, getLong, (J)J, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectDoubleBufferS, put, (D)Ljava/nio/DoubleBuffer;, sun/misc/Unsafe, putLong, (JJ)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectDoubleBufferS, put, (ID)Ljava/nio/DoubleBuffer;, sun/misc/Unsafe, putLong, (JJ)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectDoubleBufferS, put, (Ljava/nio/DoubleBuffer;)Ljava/nio/DoubleBuffer;, sun/misc/Unsafe, copyMemory, (JJJ)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectDoubleBufferS, compact, ()Ljava/nio/DoubleBuffer;, sun/misc/Unsafe, copyMemory, (JJJ)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectDoubleBufferS, <clinit>, ()V, sun/misc/Unsafe, arrayBaseOffset, (Ljava/lang/Class;)I, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectDoubleBufferU, get, ()D, sun/misc/Unsafe, getDouble, (J)D, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectDoubleBufferU, get, (I)D, sun/misc/Unsafe, getDouble, (J)D, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectDoubleBufferU, put, (D)Ljava/nio/DoubleBuffer;, sun/misc/Unsafe, putDouble, (JD)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectDoubleBufferU, put, (ID)Ljava/nio/DoubleBuffer;, sun/misc/Unsafe, putDouble, (JD)V, jdk8, jdk8, rt.jar@1.8, 1, jar
