className, methodName, methodDesc, owner, name, desc, groupId, artifactId, version, size, ext
akka/actor/AbstractActorRef, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/actor/AbstractActorRef, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/actor/RepointableActorRef, underlying, ()Lakka/actor/Cell;, sun/misc/Unsafe, getObjectVolatile, (Ljava/lang/Object;J)Ljava/lang/Object;, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/actor/RepointableActorRef, lookup, ()Lakka/actor/Cell;, sun/misc/Unsafe, getObjectVolatile, (Ljava/lang/Object;J)Ljava/lang/Object;, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/actor/RepointableActorRef, swapCell, (Lakka/actor/Cell;)Lakka/actor/Cell;, sun/misc/Unsafe, compareAndSwapObject, (Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;)Z, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/actor/RepointableActorRef, swapLookup, (Lakka/actor/Cell;)Lakka/actor/Cell;, sun/misc/Unsafe, compareAndSwapObject, (Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;)Z, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/actor/dungeon/AbstractActorCell, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/actor/dungeon/AbstractActorCell, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/actor/dungeon/AbstractActorCell, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/actor/dungeon/Children$class, childrenRefs, (Lakka/actor/ActorCell;)Lakka/actor/dungeon/ChildrenContainer;, sun/misc/Unsafe, getObjectVolatile, (Ljava/lang/Object;J)Ljava/lang/Object;, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/actor/dungeon/Children$class, swapChildrenRefs, (Lakka/actor/ActorCell;Lakka/actor/dungeon/ChildrenContainer;Lakka/actor/dungeon/ChildrenContainer;)Z, sun/misc/Unsafe, compareAndSwapObject, (Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;)Z, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/actor/dungeon/Children$class, setTerminated, (Lakka/actor/ActorCell;)V, sun/misc/Unsafe, putObjectVolatile, (Ljava/lang/Object;JLjava/lang/Object;)V, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/actor/dungeon/Children$class, inc$1, (Lakka/actor/ActorCell;)J, sun/misc/Unsafe, getLongVolatile, (Ljava/lang/Object;J)J, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/actor/dungeon/Children$class, inc$1, (Lakka/actor/ActorCell;)J, sun/misc/Unsafe, compareAndSwapLong, (Ljava/lang/Object;JJJ)Z, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/actor/dungeon/Dispatch$class, mailbox, (Lakka/actor/ActorCell;)Lakka/dispatch/Mailbox;, sun/misc/Unsafe, getObjectVolatile, (Ljava/lang/Object;J)Ljava/lang/Object;, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/actor/dungeon/Dispatch$class, swapMailbox, (Lakka/actor/ActorCell;Lakka/dispatch/Mailbox;)Lakka/dispatch/Mailbox;, sun/misc/Unsafe, compareAndSwapObject, (Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;)Z, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/dispatch/AbstractMailbox, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/dispatch/AbstractMailbox, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/dispatch/AbstractMessageDispatcher, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/dispatch/AbstractMessageDispatcher, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/dispatch/Mailbox, status, ()I, sun/misc/Unsafe, getIntVolatile, (Ljava/lang/Object;J)I, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
