countsJava[] = 50692
countsTotal[] = 699331
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/ConcurrentSkipListSet.java][java.util.concurrent][<clinit>][objectFieldOffset][466][1142463991748000][1343541127691000][14911381] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/ConcurrentSkipListSet.java][java.util.concurrent][setMap][putObjectVolatile][466][1142463991748000][1343541127691000][14911381] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicBoolean.java][java.util.concurrent.atomic][<clinit>][objectFieldOffset][466][1142463991748000][1343541127691000][14911381] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicBoolean.java][java.util.concurrent.atomic][compareAndSet][compareAndSwapInt][466][1142463991748000][1343541127691000][14911381] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicBoolean.java][java.util.concurrent.atomic][lazySet][putOrderedInt][466][1142463991748000][1343541127691000][14911381] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicBoolean.java][java.util.concurrent.atomic][weakCompareAndSet][compareAndSwapInt][466][1142463991748000][1343541127691000][14911381] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicInteger.java][java.util.concurrent.atomic][<clinit>][objectFieldOffset][466][1142463991748000][1343541127691000][14911381] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicInteger.java][java.util.concurrent.atomic][compareAndSet][compareAndSwapInt][466][1142463991748000][1343541127691000][14911381] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicInteger.java][java.util.concurrent.atomic][lazySet][putOrderedInt][466][1142463991748000][1343541127691000][14911381] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicInteger.java][java.util.concurrent.atomic][weakCompareAndSet][compareAndSwapInt][466][1142463991748000][1343541127691000][14911381] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicIntegerArray.java][java.util.concurrent.atomic][<init>][putIntVolatile][466][1142463991748000][1343541127691000][14911381] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicIntegerArray.java][java.util.concurrent.atomic][<init>][putIntVolatile][466][1142463991748000][1343541127691000][14911381] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicIntegerArray.java][java.util.concurrent.atomic][compareAndSet][compareAndSwapInt][466][1142463991748000][1343541127691000][14911381] = 1
