method,usagesInQuestionsOnly,usagesInAnswersOnly,usagesInBoth
addressSize,1,7,0
allocateInstance,6,26,3
allocateMemory,7,18,4
arrayBaseOffset,5,12,1
arrayIndexScale,2,8,1
compareAndSwapInt,4,17,1
compareAndSwapLong,3,2,0
compareAndSwapObject,4,3,0
copyMemory,8,19,1
defineAnonymousClass,2,1,0
defineClass,9,3,0
ensureClassInitialized,12,1,0
fieldOffset,1,3,0
freeMemory,4,12,3
getAddress,2,8,1
getBoolean,0,0,0
getBooleanVolatile,0,0,0
getByte,5,6,0
getByteVolatile,0,0,0
getChar,2,0,0
getCharVolatile,0,0,0
getDouble,1,1,0
getDoubleVolatile,0,0,0
getFloat,1,1,0
getFloatVolatile,0,0,0
getInt,5,25,5
getIntVolatile,0,1,0
getLoadAverage,0,0,0
getLong,6,10,0
getLongVolatile,0,0,0
getObject,2,2,1
getObjectVolatile,2,2,0
getShort,1,2,0
getShortVolatile,0,0,0
getUnsafe,10,23,4
monitorEnter,0,3,0
monitorExit,0,3,0
objectFieldOffset,4,6,0
pageSize,0,1,0
park,10,7,0
putAddress,0,9,0
putBoolean,0,0,0
putBooleanVolatile,0,0,0
putByte,7,1,0
putByteVolatile,0,1,0
putChar,2,1,0
putCharVolatile,0,0,0
putDouble,1,1,0
putDoubleVolatile,0,0,0
putFloat,3,0,0
putFloatVolatile,0,0,0
putInt,5,9,1
putIntVolatile,0,2,0
putLong,4,4,0
putLongVolatile,0,1,0
putObject,1,1,0
putObjectVolatile,1,5,0
putOrderedInt,1,2,0
putOrderedLong,1,2,0
putOrderedObject,0,3,1
putShort,3,1,0
putShortVolatile,0,0,0
reallocateMemory,0,2,0
setMemory,0,3,0
staticFieldBase,0,0,0
staticFieldOffset,0,3,0
throwException,3,7,0
tryMonitorEnter,1,3,0
unpark,0,0,0
