method,gid
addressSize,offheap
allocateInstance,new
allocateMemory,offheap
arrayBaseOffset,array
arrayIndexScale,array
compareAndSwapInt,cas
compareAndSwapLong,cas
compareAndSwapObject,cas
copyMemory,offheap
defineAnonymousClass,class
defineClass,class
ensureClassInitialized,class
fieldOffset,offset
freeMemory,offheap
getAddress,offheap
getBoolean,get
getBooleanVolatile,getvolatile
getByte,get
getByteVolatile,getvolatile
getChar,get
getCharVolatile,getvolatile
getDouble,get
getDoubleVolatile,getvolatile
getFloat,get
getFloatVolatile,getvolatile
getInt,get
getIntVolatile,getvolatile
getLoadAverage,misc
getLong,get
getLongVolatile,getvolatile
getObject,get
getObjectVolatile,getvolatile
getShort,get
getShortVolatile,getvolatile
getUnsafe,misc
monitorEnter,monitor
monitorExit,monitor
objectFieldOffset,offset
pageSize,offheap
park,park
putAddress,offheap
putBoolean,put
putBooleanVolatile,putvolatile
putByte,put
putByteVolatile,putvolatile
putChar,put
putCharVolatile,putvolatile
putDouble,put
putDoubleVolatile,putvolatile
putFloat,put
putFloatVolatile,putvolatile
putInt,put
putIntVolatile,putvolatile
putLong,put
putLongVolatile,putvolatile
putObject,put
putObjectVolatile,putvolatile
putOrderedInt,putordered
putOrderedLong,putordered
putOrderedObject,putordered
putShort,put
putShortVolatile,putvolatile
reallocateMemory,offheap
setMemory,offheap
staticFieldBase,offset
staticFieldOffset,offset
sun.misc.Unsafe,literal
throwException,throw
tryMonitorEnter,monitor
unpark,park
